4:OnePixel,
Transient Analysis,
Tue Nov 20 15:09:36 2018,
Input file: \\tsclient\C\Users\marku\Documents\ICdrit\OnePixel.cir,
time [sec],v(vdd) [V],v(n1) [V],v(expose) [V],v(n2) [V],v(erase) [V],v(n3) [V],v(nre) [V],v(out) [V],v(mc.drain) [V],v(mc.source) [V],v(mp4.drain) [V],v(mp4.source) [V],v(mp3.drain) [V],v(mp3.source) [V],v(mn2.drain) [V],v(mn2.source) [V],v(mn1.drain) [V],v(mn1.source) [V],i(vnre) [A],i(verase) [A],i(vexpose) [A],i(vdd) [A],
0,1.8,1.89513,0,0.0425065,0,0.419475,1.8,1.75935,1.75935,1.8,0.419475,1.75935,1.12779e-10,0.419475,0.0425065,3.6827e-11,1.89513,0.0425065,0,0,0,-2.81744e-11,
1e-06,1.8,1.89516,0,0.0425029,0,0.419396,1.8,1.75935,1.75935,1.8,0.419396,1.75935,1.25121e-10,0.419396,0.0425029,3.68262e-11,1.89516,0.0425029,6.80047e-13,-2.91599e-14,-6.87075e-13,-2.46627e-11,
2e-06,1.8,1.89517,0,0.0424994,0,0.419395,1.8,1.75935,1.75935,1.8,0.419395,1.75935,1.2494e-10,0.419395,0.0424994,3.68254e-11,1.89517,0.0424994,6.69713e-13,-3.39287e-14,-6.23814e-13,-2.48241e-11,
4e-06,1.8,1.89518,0,0.0424926,0,0.419392,1.8,1.75935,1.75935,1.8,0.419392,1.75935,1.24586e-10,0.419392,0.0424926,3.68239e-11,1.89518,0.0424926,6.49542e-13,-4.32325e-14,-5.70383e-13,-2.5041e-11,
8e-06,1.8,1.89518,0,0.0424828,0,0.419389,1.8,1.75935,1.75935,1.8,0.419389,1.75935,1.18328e-10,0.419389,0.0424828,3.68218e-11,1.89518,0.0424828,3.15868e-13,-2.82424e-14,-3.13532e-13,-2.66704e-11,
1.6e-05,1.8,1.89518,0,0.0424739,0,0.419388,1.8,1.75935,1.75935,1.8,0.419388,1.75935,1.1535e-10,0.419388,0.0424739,3.68198e-11,1.89518,0.0424739,1.56014e-13,-1.71697e-14,-1.84249e-13,-2.74342e-11,
3.2e-05,1.8,1.89517,0,0.0424655,0,0.419389,1.8,1.75935,1.75935,1.8,0.419389,1.75935,1.13938e-10,0.419389,0.0424655,3.6818e-11,1.89517,0.0424655,7.87468e-14,1.57415e-14,-1.0698e-13,-2.78107e-11,
6.4e-05,1.8,1.89516,0,0.0424579,0,0.419393,1.8,1.75935,1.75935,1.8,0.419393,1.75935,1.13281e-10,0.419393,0.0424579,3.68163e-11,1.89516,0.0424579,4.08255e-14,-1.63821e-14,-6.21755e-14,-2.79971e-11,
0.000128,1.8,1.89512,0,0.0424503,0,0.419398,1.8,1.75935,1.75935,1.8,0.419398,1.75935,1.12985e-10,0.419398,0.0424503,3.68147e-11,1.89512,0.0424503,2.14592e-14,1.72394e-14,5.17956e-14,-2.81693e-11,
0.000256,1.8,1.89513,0,0.0424441,0,0.419404,1.8,1.75935,1.75935,1.8,0.419404,1.75935,1.1286e-10,0.419404,0.0424441,3.68134e-11,1.89513,0.0424441,1.13251e-14,-1.51249e-14,-5.1267e-14,-2.81175e-11,
0.000512,1.8,1.89511,0,0.0424404,0,0.419409,1.8,1.75935,1.75935,1.8,0.419409,1.75935,1.12811e-10,0.419409,0.0424404,3.68125e-11,1.89511,0.0424404,5.94389e-15,1.50854e-14,6.63267e-14,-2.82394e-11,
0.001,1.8,1.89512,0,0.0424404,0,0.419414,1.8,1.75935,1.75935,1.8,0.419414,1.75935,1.12793e-10,0.419414,0.0424404,3.68125e-11,1.89512,0.0424404,3.26257e-15,-1.50852e-14,-4.38704e-14,-2.81495e-11,
0.00103,1.8,1.59299,0.18,0.0564828,0,0.427371,1.8,1.75935,1.75935,1.8,0.427371,1.75935,1.27935e-10,0.427371,0.0564828,3.89098e-11,1.59299,0.0564828,1.83815e-12,6.37006e-13,-2.4732e-10,-4.6327e-10,
0.00109,1.8,0.115192,0.54,0.115135,0,0.461473,1.8,1.75935,1.75935,1.8,0.461473,1.75935,1.52893e-10,0.461473,0.115135,4.08349e-11,0.115191,0.115135,6.25532e-12,2.02228e-12,-4.38735e-10,-1.49022e-09,
0.00114139,1.8,0.129971,0.848338,0.130035,0,0.48049,1.8,1.75935,1.75935,1.8,0.48049,1.75935,3.73141e-11,0.48049,0.130035,4.09313e-11,0.129971,0.130035,-1.7972e-12,-1.24264e-12,-2.94118e-10,1.3792e-09,
0.00118885,1.8,0.145476,1.13308,0.145476,0,0.494831,1.8,1.75935,1.75935,1.8,0.494831,1.75935,1.75759e-10,0.494831,0.145476,4.09922e-11,0.145476,0.145476,5.624e-12,2.12773e-12,-5.13777e-10,-1.48651e-09,
0.00125494,1.8,0.166961,1.52962,0.166961,0,0.512381,1.8,1.75936,1.75936,1.8,0.512381,1.75936,4.30719e-11,0.512381,0.166961,4.10381e-11,0.166961,0.166961,-1.99589e-12,-1.24335e-12,-2.93664e-10,1.37936e-09,
0.0013,1.8,0.181606,1.8,0.181605,0,0.523902,1.8,1.75936,1.75936,1.8,0.523902,1.75936,1.77097e-10,0.523902,0.181605,4.10537e-11,0.181606,0.181605,5.48889e-12,2.12565e-12,-5.13348e-10,-1.48644e-09,
0.00131322,1.8,0.182024,1.8,0.182024,0,0.525601,1.8,1.75936,1.75936,1.8,0.525601,1.75936,9.77396e-11,0.525601,0.182024,4.10543e-11,0.182024,0.182024,6.47646e-13,3.95569e-14,2.23314e-12,-6.74161e-11,
0.00133965,1.8,0.182855,1.8,0.182855,0,0.527993,1.8,1.75936,1.75936,1.8,0.527993,1.75936,1.02271e-10,0.527993,0.182855,4.10546e-11,0.182855,0.182855,5.88718e-13,4.59615e-14,2.21739e-12,-6.72554e-11,
0.00139253,1.8,0.184504,1.8,0.184504,0,0.531033,1.8,1.75936,1.75936,1.8,0.531033,1.75936,1.06948e-10,0.531033,0.184504,4.10557e-11,0.184504,0.184504,1.08443e-13,4.84628e-14,2.21388e-12,-6.73834e-11,
0.00149827,1.8,0.18778,1.8,0.18778,0,0.534177,1.8,1.75936,1.75936,1.8,0.534177,1.75936,1.08111e-10,0.534177,0.18778,4.10576e-11,0.18778,0.18778,2.97925e-13,4.91803e-14,2.18953e-12,-6.72349e-11,
0.00170976,1.8,0.194353,1.8,0.194353,0,0.53928,1.8,1.75936,1.75936,1.8,0.53928,1.75936,1.0809e-10,0.53928,0.194353,4.10604e-11,0.194353,0.194353,3.19242e-14,3.53692e-14,2.18594e-12,-6.77428e-11,
0.00213273,1.8,0.207476,1.8,0.207476,0,0.549915,1.8,1.75937,1.75937,1.8,0.549915,1.75937,1.08506e-10,0.549915,0.207476,4.10625e-11,0.207476,0.207476,1.9699e-13,4.90303e-14,2.18156e-12,-6.72043e-11,
0.00297868,1.8,0.233599,1.8,0.233599,0,0.569936,1.8,1.75938,1.75938,1.8,0.569936,1.75938,1.05942e-10,0.569936,0.233599,4.10564e-11,0.233599,0.233599,1.26532e-13,3.47508e-14,2.20723e-12,-6.75473e-11,
0.00417868,1.8,0.270441,1.8,0.270441,0,0.599397,1.8,1.75939,1.75939,1.8,0.599397,1.75939,1.05963e-10,0.599397,0.270441,4.10335e-11,0.270441,0.270441,2.39933e-13,4.7714e-14,2.14482e-12,-6.69404e-11,
0.00537868,1.8,0.307009,1.8,0.307009,0,0.627891,1.8,1.75941,1.75941,1.8,0.627891,1.75941,1.04098e-10,0.627891,0.307009,4.10013e-11,0.307009,0.307009,8.46857e-14,3.51868e-14,2.18609e-12,-6.72739e-11,
0.00657868,1.8,0.343324,1.8,0.343324,0,0.656636,1.8,1.75943,1.75943,1.8,0.656636,1.75943,1.03539e-10,0.656636,0.343324,4.09642e-11,0.343324,0.343324,2.42806e-13,4.67723e-14,2.11462e-12,-6.66537e-11,
0.00777868,1.8,0.379394,1.8,0.379394,0,0.684725,1.8,1.75945,1.75945,1.8,0.684725,1.75945,1.01878e-10,0.684725,0.379394,4.09244e-11,0.379394,0.379394,8.29733e-14,3.49983e-14,2.09685e-12,-6.69498e-11,
0.00897868,1.8,0.415164,1.8,0.415164,0,0.712956,1.8,1.75947,1.75947,1.8,0.712956,1.75947,1.01305e-10,0.712956,0.415164,4.08831e-11,0.415164,0.415164,2.35246e-13,4.53507e-14,2.13933e-12,-6.63415e-11,
0.0101787,1.8,0.45069,1.8,0.45069,0,0.740574,1.8,1.75949,1.75949,1.8,0.740574,1.75949,9.97996e-11,0.740574,0.45069,4.08412e-11,0.45069,0.45069,7.00534e-14,3.51865e-14,2.05712e-12,-6.66879e-11,
