1:FourPixel,
Transient Analysis,
Tue Nov 20 15:05:46 2018,
Input file: \\tsclient\C\Users\marku\Documents\ICdrit\FourPixel.cir,
time [sec],v(vdd) [V],v(11:n1) [V],v(expose) [V],v(11:n2) [V],v(erase) [V],v(11:n3) [V],v(nre_r1) [V],v(out1) [V],v(12:n1) [V],v(12:n2) [V],v(12:n3) [V],v(out2) [V],v(21:n1) [V],v(21:n2) [V],v(21:n3) [V],v(nre_r2) [V],v(22:n1) [V],v(22:n2) [V],v(22:n3) [V],v(m:22:c.drain) [V],v(m:22:c.source) [V],v(m:22:p4.drain) [V],v(m:22:p4.source) [V],v(m:22:p3.drain) [V],v(m:22:p3.source) [V],v(m:21:c.drain) [V],v(m:21:c.source) [V],v(m:21:p4.drain) [V],v(m:21:p4.source) [V],v(m:21:p3.drain) [V],v(m:21:p3.source) [V],v(m:12:c.drain) [V],v(m:12:c.source) [V],v(m:12:p4.drain) [V],v(m:12:p4.source) [V],v(m:12:p3.drain) [V],v(m:12:p3.source) [V],v(m:11:c.drain) [V],v(m:11:c.source) [V],v(m:11:p4.drain) [V],v(m:11:p4.source) [V],v(m:11:p3.drain) [V],v(m:11:p3.source) [V],v(m:22:n2.drain) [V],v(m:22:n2.source) [V],v(m:22:n1.drain) [V],v(m:22:n1.source) [V],v(m:21:n2.drain) [V],v(m:21:n2.source) [V],v(m:21:n1.drain) [V],v(m:21:n1.source) [V],v(m:12:n2.drain) [V],v(m:12:n2.source) [V],v(m:12:n1.drain) [V],v(m:12:n1.source) [V],v(m:11:n2.drain) [V],v(m:11:n2.source) [V],v(m:11:n1.drain) [V],v(m:11:n1.source) [V],i(vnre_r2) [A],i(vnre_r1) [A],i(verase) [A],i(vexpose) [A],i(vdd) [A],
0,1.8,1.89512,0,0.0424566,0,0.419479,1.8,1.75939,1.89512,0.0424566,0.419469,1.75937,1.89512,0.0424566,0.419479,1.8,1.89513,0.0425065,0.419485,1.75937,1.8,0.419485,1.75937,1.1281e-10,0.419485,1.75939,1.8,0.419479,1.75939,1.12918e-10,0.419479,1.75937,1.8,0.419469,1.75937,1.12887e-10,0.419469,1.75939,1.8,0.419479,1.75939,1.12918e-10,0.419479,0.0425065,3.6827e-11,1.89513,0.0425065,0.0424566,3.67945e-11,1.89512,0.0424566,0.0424566,3.67945e-11,1.89512,0.0424566,0.0424566,3.67945e-11,1.89512,0.0424566,0,0,0,0,-1.13249e-10,
1e-06,1.8,1.89513,0,0.0424532,0,0.419422,1.8,1.75939,1.89513,0.0424532,0.419412,1.75937,1.89513,0.0424532,0.419422,1.8,1.89516,0.0425029,0.419406,1.75937,1.8,0.419406,1.75937,1.25152e-10,0.419406,1.75939,1.8,0.419422,1.75939,1.25184e-10,0.419422,1.75937,1.8,0.419412,1.75937,1.25154e-10,0.419412,1.75939,1.8,0.419422,1.75939,1.25184e-10,0.419422,0.0425029,3.68262e-11,1.89516,0.0425029,0.0424532,3.67938e-11,1.89513,0.0424532,0.0424532,3.67938e-11,1.89513,0.0424532,0.0424532,3.67938e-11,1.89513,0.0424532,1.49307e-12,1.62617e-12,-1.16314e-13,-2.86139e-12,-1.01001e-10,
2e-06,1.8,1.89514,0,0.0424498,0,0.41942,1.8,1.75939,1.89514,0.0424498,0.419411,1.75937,1.89514,0.0424498,0.41942,1.8,1.89517,0.0424994,0.419405,1.75937,1.8,0.419405,1.75937,1.2497e-10,0.419405,1.75939,1.8,0.41942,1.75939,1.25008e-10,0.41942,1.75937,1.8,0.419411,1.75937,1.24978e-10,0.419411,1.75939,1.8,0.41942,1.75939,1.25008e-10,0.41942,0.0424994,3.68254e-11,1.89517,0.0424994,0.0424498,3.6793e-11,1.89514,0.0424498,0.0424498,3.6793e-11,1.89514,0.0424498,0.0424498,3.6793e-11,1.89514,0.0424498,1.47089e-12,1.60229e-12,-1.34906e-13,-2.65903e-12,-1.0147e-10,
4e-06,1.8,1.89516,0,0.0424432,0,0.419417,1.8,1.75939,1.89516,0.0424432,0.419407,1.75937,1.89516,0.0424432,0.419417,1.8,1.89518,0.0424926,0.419402,1.75937,1.8,0.419402,1.75937,1.24617e-10,0.419402,1.75939,1.8,0.419417,1.75939,1.24663e-10,0.419417,1.75937,1.8,0.419407,1.75937,1.24633e-10,0.419407,1.75939,1.8,0.419417,1.75939,1.24663e-10,0.419417,0.0424926,3.68239e-11,1.89518,0.0424926,0.0424432,3.67916e-11,1.89516,0.0424432,0.0424432,3.67916e-11,1.89516,0.0424432,0.0424432,3.67916e-11,1.89516,0.0424432,1.42752e-12,1.55552e-12,-1.71273e-13,-2.48861e-12,-1.02133e-10,
8e-06,1.8,1.89516,0,0.0424337,0,0.419413,1.8,1.75939,1.89516,0.0424337,0.419404,1.75937,1.89516,0.0424337,0.419413,1.8,1.89518,0.0424828,0.419399,1.75937,1.8,0.419399,1.75937,1.18359e-10,0.419399,1.75939,1.8,0.419413,1.75939,1.18471e-10,0.419413,1.75937,1.8,0.419404,1.75937,1.18441e-10,0.419404,1.75939,1.8,0.419413,1.75939,1.18471e-10,0.419413,0.0424828,3.68218e-11,1.89518,0.0424828,0.0424337,3.67895e-11,1.89516,0.0424337,0.0424337,3.67895e-11,1.89516,0.0424337,0.0424337,3.67895e-11,1.89516,0.0424337,6.92911e-13,7.53591e-13,-1.11673e-13,-1.34614e-12,-1.07927e-10,
1.6e-05,1.8,1.89515,0,0.0424248,0,0.419411,1.8,1.75939,1.89515,0.0424248,0.419402,1.75937,1.89515,0.0424248,0.419411,1.8,1.89518,0.0424739,0.419398,1.75937,1.8,0.419398,1.75937,1.15381e-10,0.419398,1.75939,1.8,0.419411,1.75939,1.15519e-10,0.419411,1.75937,1.8,0.419402,1.75937,1.15489e-10,0.419402,1.75939,1.8,0.419411,1.75939,1.15519e-10,0.419411,0.0424739,3.68198e-11,1.89518,0.0424739,0.0424248,3.67876e-11,1.89515,0.0424248,0.0424248,3.67876e-11,1.89515,0.0424248,0.0424248,3.67876e-11,1.89515,0.0424248,3.40762e-13,3.69095e-13,-6.79165e-14,-7.78394e-13,-1.10649e-10,
3.2e-05,1.8,1.89515,0,0.0424165,0,0.419411,1.8,1.75939,1.89515,0.0424165,0.419401,1.75937,1.89515,0.0424165,0.419411,1.8,1.89517,0.0424655,0.419399,1.75937,1.8,0.419399,1.75937,1.13969e-10,0.419399,1.75939,1.8,0.419411,1.75939,1.14116e-10,0.419411,1.75937,1.8,0.419401,1.75937,1.14086e-10,0.419401,1.75939,1.8,0.419411,1.75939,1.14116e-10,0.419411,0.0424655,3.6818e-11,1.89517,0.0424655,0.0424165,3.67857e-11,1.89515,0.0424165,0.0424165,3.67857e-11,1.89515,0.0424165,0.0424165,3.67857e-11,1.89515,0.0424165,1.70609e-13,1.83454e-13,6.22444e-14,-4.4684e-13,-1.11984e-10,
6.4e-05,1.8,1.89513,0,0.0424089,0,0.419412,1.8,1.75939,1.89513,0.0424089,0.419402,1.75937,1.89513,0.0424089,0.419412,1.8,1.89516,0.0424579,0.419403,1.75937,1.8,0.419403,1.75937,1.13312e-10,0.419403,1.75939,1.8,0.419412,1.75939,1.13459e-10,0.419412,1.75937,1.8,0.419402,1.75937,1.13428e-10,0.419402,1.75939,1.8,0.419412,1.75939,1.13459e-10,0.419412,0.0424579,3.68163e-11,1.89516,0.0424579,0.0424089,3.6784e-11,1.89513,0.0424089,0.0424089,3.6784e-11,1.89513,0.0424089,0.0424089,3.6784e-11,1.89513,0.0424089,8.73171e-14,9.28027e-14,-6.48111e-14,-2.56281e-13,-1.12645e-10,
0.000128,1.8,1.8951,0,0.0424016,0,0.419414,1.8,1.75939,1.8951,0.0424016,0.419404,1.75937,1.8951,0.0424016,0.419414,1.8,1.89512,0.0424503,0.419408,1.75937,1.8,0.419408,1.75937,1.13016e-10,0.419408,1.75939,1.8,0.419414,1.75939,1.13158e-10,0.419414,1.75937,1.8,0.419404,1.75937,1.13126e-10,0.419404,1.75939,1.8,0.419414,1.75939,1.13158e-10,0.419414,0.0424503,3.68147e-11,1.89512,0.0424503,0.0424016,3.67824e-11,1.8951,0.0424016,0.0424016,3.67824e-11,1.8951,0.0424016,0.0424016,3.67824e-11,1.8951,0.0424016,4.51869e-14,4.73325e-14,6.82077e-14,2.19956e-13,-1.13236e-10,
0.000256,1.8,1.89511,0,0.0423956,0,0.419417,1.8,1.75939,1.89511,0.0423956,0.419407,1.75937,1.89511,0.0423956,0.419417,1.8,1.89513,0.0424441,0.419413,1.75937,1.8,0.419413,1.75937,1.12891e-10,0.419413,1.75939,1.8,0.419417,1.75939,1.13025e-10,0.419417,1.75937,1.8,0.419407,1.75937,1.12992e-10,0.419407,1.75939,1.8,0.419417,1.75939,1.13025e-10,0.419417,0.0424441,3.68134e-11,1.89513,0.0424441,0.0423956,3.67811e-11,1.89511,0.0423956,0.0423956,3.67811e-11,1.89511,0.0423956,0.0423956,3.67811e-11,1.89511,0.0423956,2.34551e-14,2.41889e-14,-5.97773e-14,-2.18242e-13,-1.1306e-10,
